,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1,Year,State
22,10.577872335103647,93.72485193237662,130.53970082392917,7.575311678647996,35.818145376443866,41.01018503103407,22.697697348520162,2020,CA
23,10.568179996373747,95.76280736289918,131.65063069111977,7.722410494089127,36.005190273001794,40.807386809214975,23.16270814482123,2021,CA
24,10.55852116228391,97.80109840482473,132.76180333429946,7.867586147785187,36.19185897279531,40.60431844145063,23.627337264642126,2022,CA
25,10.548912884605418,99.83963156025857,133.8731509162423,8.012106794118882,36.37808843869716,40.400934850486664,24.09152100458742,2023,CA
26,10.539346377551544,101.87837072946131,134.98464695854727,8.156395626068116,36.56415896564722,40.197436131599105,24.555542066320786,2024,CA
27,10.529816222749638,103.91728953681886,136.09627229797957,8.300499308109284,36.750051136687404,39.993809340956375,25.019382188655445,2025,CA
29,11.525796599686142,100.25835584234447,139.75243694625482,6.5562824487686155,33.975637357309466,40.959220970173696,23.405669563077392,2020,CO
30,11.50241939524809,101.4093587908894,140.28543052164213,6.673215451836586,34.16640289928765,40.69091713959354,23.586451214738194,2021,CO
31,11.47904025850196,102.56034700265157,140.81841339000187,6.7901464134454725,34.35716379098595,40.42261001290757,23.76722820932046,2022,CO
32,11.455659613199524,103.7113237476908,141.3513879272,6.907075786590576,34.54792105220259,40.15430032151445,23.94800158021972,2023,CO
33,11.43227817689378,104.86229446893562,141.88435809561824,7.024004325270652,34.738676409795886,39.885989282808005,24.12877304749564,2024,CO
34,11.408896452436831,106.01326299579819,142.41732666189003,7.14093255996704,34.929431073926395,39.617677753294565,24.30954382130877,2025,CO
36,14.064340326314166,136.1401884010993,158.34685892166257,5.7534761995077135,38.35123662259431,65.66473104643326,22.00673793330789,2020,CT
37,14.07719607924421,137.27295631282033,158.77031341505545,5.805209237337112,38.22685493389146,65.27209656964989,22.022621367499237,2021,CT
38,14.091757224003466,138.40583988139406,159.19382930582697,5.856949494779109,38.10247324518861,64.87946209286652,22.03851984031499,2022,CT
39,14.108874507248391,139.53883523438125,159.61740046674382,5.908699786663055,37.978091556485765,64.48682761608315,22.054418313130743,2023,CT
40,14.127887927119918,140.67192412829027,160.04101848849092,5.960458636283874,37.85370986778292,64.09419313929978,22.070316785946495,2024,CT
